1331.25636305, 1721.26724635, 665.306220179, 1363.43687574, 1569.21472826, 623.344643691, 986.152545547, 1040.77773258, 334.357638963, 894.971545366, 1167.14868047, 461.916295483, 1290.13731906, 1333.32157859, 374.594571309, 1731.33697947, 2278.880138, 1114.19907142
793.627444899, 1483.96189547, 493.355998941, 746.67476907, 1675.51668162, 542.969713185, 586.212217386, 1059.57177946, 273.162032337, 554.712669526, 1184.69594545, 402.597462312, 761.670317281, 1335.41501111, 340.618544319, 1188.20637191, 2000.05613764, 667.511398745
1967.11582721, 2258.39344115, 909.867104832, 3168.80778059, 2823.61192941, 902.941174934, 4904.09759359, 3853.63395504, 1368.62450654, 1508.32930069, 1477.19629748, 519.050770404, 3452.27452698, 2546.80856639, 795.482621364, 2113.58985467, 2119.54129768, 798.537981578
1526.462697, 1934.80821114, 719.332407537, 1989.35612303, 1746.23494726, 572.927073263, 2298.02610107, 1725.42205967, 538.875713532, 967.559989278, 1069.56921661, 409.563831373, 1851.34057208, 1226.09544794, 406.257566696, 1311.02391753, 1387.69877858, 533.505375105
1765.84033653, 2530.27553973, 1064.95430937, 2544.7948147, 2489.02847585, 751.080566121, 3932.68651509, 3947.62122599, 1545.07104006, 1105.94538059, 1112.1619355, 404.454398296, 2474.57419842, 2515.2908834, 731.289850755, 1698.59650675, 2534.42087666, 881.946664985
1296.99280569, 1706.96991668, 607.864211602, 1046.9648966, 1424.10599465, 430.947741412, 698.868457375, 946.476102795, 257.783079063, 781.524341848, 1061.00552999, 325.636023737, 992.276581832, 1247.39276174, 326.764265091, 1631.69537676, 2237.19172814, 843.791460267
1224.07877207, 1681.80347489, 636.695401657, 1420.99714431, 1373.84248926, 471.425096851, 1750.53860042, 1443.68100317, 488.606741475, 823.256934821, 947.255228745, 336.345289361, 1406.79559939, 1087.0934699, 352.450064941, 1205.59302539, 1560.1287557, 605.382379872
1403.57904886, 2106.20023203, 778.725851746, 1643.62174105, 1896.01765476, 712.270832304, 2002.03392355, 1779.79029602, 567.491815119, 907.608790111, 1158.7157557, 410.150628874, 1779.15090963, 1232.00113544, 399.654311339, 1396.10326053, 1836.15183287, 709.307509318
1094.90338878, 1725.34861608, 581.355776891, 1669.15987079, 2626.39392907, 1000.0979835, 2777.38061768, 3114.74717093, 637.636490282, 1362.53131082, 1490.49071237, 498.640907193, 1702.55619928, 1835.5571522, 470.207496617, 1062.26999836, 1762.5484289, 625.417045983
1702.08123692, 1940.48067688, 541.045235295, 2884.02035478, 2705.13077946, 804.358414289, 4252.38688042, 3779.5144361, 1244.50565702, 1334.26539941, 1258.25171441, 362.45455288, 2801.55748984, 2515.51156398, 664.666732857, 1720.31218807, 2102.10718746, 519.027574411
1967.11582721, 2258.39344115, 909.867104832, 3168.80778059, 2823.61192941, 902.941174934, 4904.09759359, 3853.63395504, 1368.62450654, 1508.32930069, 1477.19629748, 519.050770404, 3452.27452698, 2546.80856639, 795.482621364, 2113.58985467, 2119.54129768, 798.537981578
1704.80424425, 2059.44937899, 694.469629065, 2783.00789268, 2530.82004311, 734.110037237, 4578.81506686, 3213.75922206, 867.216014082, 2051.06071688, 2242.79441444, 736.48758109, 3385.70102734, 2781.99514879, 774.141198114, 1252.74634001, 1847.64715711, 672.982773444
1325.58016136, 2223.39002194, 702.973684623, 2339.82236863, 2904.85195692, 977.014393761, 5694.68886443, 4160.83218802, 912.138936638, 1514.46318798, 1575.01737629, 428.894488391, 3430.27557861, 2465.59973693, 580.487793184, 1389.79499789, 2215.95503039, 682.884578089
1712.38162684, 2386.55852971, 851.380340332, 1881.01155141, 1694.50603104, 552.02020866, 2201.29188698, 1735.88341719, 521.960017797, 985.544070104, 1066.18592884, 383.30297958, 1752.66904376, 1206.3619095, 354.411461224, 1503.54248776, 1898.34102141, 719.81025895
1547.00666, 2214.72210115, 759.766374586, 1972.67216446, 1778.49163002, 574.356796205, 2428.4295772, 1839.19402173, 631.799810472, 1020.77025728, 1210.76647143, 394.280283791, 1980.31014855, 1370.7940752, 408.089005863, 1604.95042292, 2363.2487013, 805.385725079
1424.16026618, 3413.41462039, 1906.84687943, 2557.3246629, 2754.0568847, 1141.77452318, 4184.77240349, 3619.41469921, 1388.89954018, 1246.89756978, 1496.64804088, 469.261090737, 2600.815599, 2398.55366867, 693.591744195, 1351.68712594, 2452.1213154, 961.72660508
1204.3014681, 1845.3158841, 604.636098603, 1684.61015379, 2260.09351548, 607.25571063, 2828.18340752, 3089.41461215, 668.190266163, 920.662392738, 1201.04932938, 413.162738696, 1971.5929631, 1907.84000632, 459.40898304, 1045.81913854, 1789.90721073, 619.054292461
967.250445883, 1320.91904471, 544.209774108, 1452.19894524, 1859.66300883, 758.928900737, 1826.36318084, 1629.22135962, 563.254026341, 861.074920663, 936.746419267, 354.453165055, 1791.96101821, 1222.06856681, 376.723769642, 1146.81715457, 1319.7596442, 573.481198511
1016.50735938, 1600.82867951, 599.224857853, 1337.22272457, 2341.09252066, 1119.29962537, 1818.75944291, 2036.11471706, 537.999911613, 1090.8915621, 1301.02833484, 375.887142119, 1498.45851581, 1574.03923363, 394.060705159, 995.798372451, 1816.52112679, 663.021394831
1670.62292666, 1525.8619663, 669.470658447, 2147.88212741, 1871.06857191, 660.981373968, 3121.88994924, 2558.78115374, 743.361001407, 1239.77075975, 1378.37369642, 476.488672699, 2087.98647061, 2094.147031, 552.763159122, 1386.79258655, 1529.1830911, 646.457718207
