2534.83060041, 2562.37886673, 857.057487916, 3363.05142692, 3054.12149115, 968.242470761, 5938.35393682, 3735.99482975, 842.385023849, 1732.52065665, 1871.5013444, 603.708075196, 3544.69739096, 2668.86780866, 663.558899657, 2403.25174283, 2478.78003237, 847.680976439, 1188.91306821, 1324.07841747, 422.626268744, 1530.45955393, 2124.17780911, 629.604305322, 2020.10290665, 1929.70475223, 676.152441768, 2585.27965687, 2983.87453112, 1400.72527171, 2579.2326035, 2137.81818684, 616.429021625
1757.91756955, 2483.64785477, 719.244092198, 2517.9965467, 3043.27086919, 972.356674753, 5239.22877227, 3959.45959883, 1002.61044167, 1695.25413811, 1575.50731577, 437.695062431, 3061.02916432, 2514.63511703, 647.473302167, 1686.00526425, 2253.19762716, 838.985146012, 1014.24355539, 1156.02460202, 406.817337082, 1325.61509791, 1959.82394887, 630.66534813, 1495.82169731, 1820.62704692, 529.579588544, 1849.95172006, 2724.36577207, 1192.08381329, 2395.2709993, 2063.54644414, 552.887449887
1432.4822431, 1558.77034699, 593.599208685, 758.421147982, 1514.78021324, 693.48109002, 505.12768085, 929.228787651, 318.534582402, 638.673750578, 1019.92331888, 325.071977413, 647.170014495, 1088.8110965, 321.630500072, 1774.84406385, 2056.81464174, 899.782256963, 1349.0555753, 1645.74549526, 569.841432801, 1422.3015693, 1808.58457912, 635.786577914, 1432.53645974, 1613.28891883, 588.554482726, 1863.69819243, 2663.16787318, 1589.72849603, 1032.64474666, 1564.983006, 625.167246211
2230.88853286, 2138.03303412, 583.765402978, 3021.52370238, 2931.05421172, 964.553768429, 5832.64310791, 3665.57089466, 836.660741717, 1702.00955083, 1590.66703008, 405.736098342, 3479.12850132, 2297.024714, 552.684891274, 2131.2671791, 2197.61533165, 681.782562793, 1200.72347187, 926.161427632, 306.775306924, 1596.88532589, 1869.7632298, 585.782106005, 1694.35392395, 1687.53551731, 533.905188871, 2375.74962548, 2549.38528632, 1176.25864414, 1978.37756861, 1961.82663959, 465.899451917
1795.9797008, 1906.51743384, 875.866714569, 2846.08658926, 2528.83400167, 648.733715082, 4326.63717176, 3538.8800626, 1070.08771777, 1291.60694224, 1380.81197166, 415.75986375, 2999.79088542, 2461.02335288, 577.37441446, 2146.98568191, 2092.63372405, 601.055218569, 1335.6843995, 1036.8105794, 238.77718699, 2112.99168034, 1832.44693209, 416.888664778, 1462.13678136, 1499.03212507, 501.550064696, 2471.64906424, 2639.64216959, 809.531533307, 1590.27080561, 1767.26706321, 402.835490945
1373.45899355, 2086.71158735, 654.783362671, 1955.89465612, 2786.83623095, 903.700111218, 3067.59495492, 3453.16261624, 870.377982172, 1804.77957862, 2067.01383023, 652.971676466, 2649.16160671, 2741.50726397, 699.370982992, 1480.24483303, 2052.3427614, 603.421526782, 1232.193644, 1142.6744095, 337.49233988, 1280.93660437, 1536.05522171, 522.629604345, 1206.3444442, 1770.89732938, 469.487693428, 1648.4441571, 2414.41912255, 997.199902568, 1725.84019475, 1666.68623321, 435.475747503
1704.80424425, 2059.44937899, 694.469629065, 2783.00789268, 2530.82004311, 734.110037237, 4578.81506686, 3213.75922206, 867.216014082, 2051.06071688, 2242.79441444, 736.48758109, 3385.70102734, 2781.99514879, 774.141198114, 1252.74634001, 1847.64715711, 672.982773444, 908.780673901, 1108.45521319, 389.769657875, 959.824999917, 1634.93137016, 563.828349495, 1012.56683503, 1728.04951906, 643.67231798, 1649.90256898, 2248.62623663, 856.316522244, 2446.65559807, 2073.92536528, 643.980302508
1706.01624347, 2129.31326502, 736.423828847, 2016.17823293, 3005.6523506, 900.407654011, 4293.37627131, 3813.92729157, 857.782353495, 1081.45548736, 1553.74242643, 476.699496667, 2756.20157254, 2495.85335338, 602.914773134, 1768.83838815, 2414.94412774, 753.893780658, 1132.6049216, 1267.28269815, 411.942909175, 1576.29204612, 2196.6723445, 596.758729068, 1408.02327112, 1907.16770419, 525.032663248, 1914.62201232, 2662.34478269, 1534.06075526, 1726.43615654, 1968.2028642, 536.447515016
1905.35594746, 2513.40878181, 771.558322087, 2916.01417036, 3084.46099576, 1062.47599852, 6138.43210239, 4370.39684537, 1142.19689578, 1632.48271791, 1762.26175705, 523.117395895, 3367.17888549, 2869.95053449, 703.121061504, 1989.32513377, 2228.2490178, 727.719461259, 1049.77555422, 1107.758364, 412.948281347, 1470.64719908, 1891.12018833, 646.08138901, 1658.96290669, 1726.39592216, 582.825146965, 1981.30318377, 2424.32501835, 926.182625414, 1485.62006428, 1578.8445442, 502.902224058
1112.65016918, 1866.74804996, 613.183428261, 768.846202744, 1426.82952452, 679.587558317, 513.155235763, 821.860380755, 291.887429077, 617.580241694, 1016.85910534, 359.47796453, 739.831876288, 1106.94807477, 353.922425502, 1419.44994486, 2370.84296483, 821.438138589, 945.07779504, 1530.08369129, 465.485993127, 1298.44095892, 1845.39281705, 630.357088402, 1096.52308465, 1859.23237561, 579.76950437, 1654.09803835, 2913.4844955, 1599.20868224, 1347.3448552, 1690.43226429, 703.719142302
1318.435195, 1671.00781164, 610.18380928, 1194.75266454, 1676.75051693, 654.416766135, 973.505573448, 1088.59970625, 323.567190473, 740.293764716, 1349.61494358, 451.732041, 1343.31966792, 1414.84206826, 380.875193875, 1687.37953194, 2365.68092103, 931.234067522, 1265.4616596, 1455.54810775, 493.611004063, 1253.93068345, 1574.92500992, 546.826172386, 1387.99372553, 1728.58343396, 609.762762248, 1506.77909748, 2405.33196814, 1371.74291404, 1434.27668408, 1765.78961061, 688.998313693
